Country,DevType,EdLevel,Employment,YearsCodePro,Age,ConvertedCompYearly,JobSat,RemoteWork,LanguageHaveWorkedWith,OpSys
India,Data scientist or machine learning specialist,Masters degree,Employed full-time,27,35-44 years old,5000.0,4,In-person,PHP;Kotlin;Java;C++,macOS
Netherlands,Desktop developer,Some college,Employed full-time,25,35-44 years old,37496.277965376765,4,Remote,C#;Go;Rust,Windows
Canada,Front-end developer,Bachelors degree,Student,27,18-24 years old,67776.37820527426,3,Remote,JavaScript;PHP;Kotlin;C++,macOS
Germany,Desktop developer,Masters degree,Employed full-time,11,55-64 years old,,2,In-person,C++,Windows
United States,Data scientist or machine learning specialist,Masters degree,Student,17,25-34 years old,,5,Remote,JavaScript;Java;Kotlin;PHP,Windows
United States,Mobile developer,Secondary school,Employed full-time,5,25-34 years old,118577.59418339327,5,Hybrid,Rust,Windows
United States,Embedded developer,Other doctoral degree,Self-employed,7,35-44 years old,121711.8940788905,3,Hybrid,C#;JavaScript,Windows
Brazil,Back-end developer,Bachelors degree,Student,19,25-34 years old,54432.54064784212,4,Remote,PHP;C++;JavaScript,Linux
Germany,Embedded developer,Masters degree,Employed full-time,25,35-44 years old,90456.95677087446,4,Hybrid,PHP;C++;TypeScript;Python,Linux
United Kingdom,Embedded developer,Bachelors degree,Employed full-time,24,18-24 years old,75663.19775554021,4,In-person,JavaScript,macOS
United States,Mobile developer,Masters degree,Employed full-time,29,45-54 years old,126701.08703824342,4,Hybrid,PHP;Python,Linux
Netherlands,Desktop developer,Bachelors degree,Self-employed,15,25-34 years old,71295.78211815296,1,Hybrid,PHP;Rust,Windows
France,Back-end developer,Bachelors degree,Employed full-time,3,35-44 years old,55758.20660159149,4,Remote,C#;Rust;Java;Kotlin,Linux
United States,Full-stack developer,Bachelors degree,Employed full-time,15,25-34 years old,,2,Hybrid,Go;Rust,Windows
United States,DevOps specialist,Masters degree,Employed full-time,5,35-44 years old,113242.44449052386,4,Hybrid,Go;C#;Java,Linux
United States,Mobile developer,Bachelors degree,Employed full-time,23,35-44 years old,120044.63244324805,5,In-person,Go;Java;PHP;C++,Windows
United States,Data scientist or machine learning specialist,Some college,Employed full-time,12,25-34 years old,114507.12501267405,4,Hybrid,Python;JavaScript;Go,Windows
India,Full-stack developer,Bachelors degree,Employed full-time,30,35-44 years old,15855.629213616081,2,Hybrid,C#;Go;PHP,Windows
India,DevOps specialist,Bachelors degree,Employed full-time,20,25-34 years old,11217.764045564196,5,In-person,Java;Go,macOS
United States,Data scientist or machine learning specialist,Some college,Student,5,45-54 years old,,5,Hybrid,JavaScript;Kotlin;Go;Java,Linux
Germany,Embedded developer,Bachelors degree,Employed part-time,3,25-34 years old,101212.11825626927,5,Hybrid,JavaScript,macOS
United States,Front-end developer,Bachelors degree,Employed full-time,9,45-54 years old,,4,Remote,JavaScript;Rust;C#;Kotlin,Windows
United States,Data scientist or machine learning specialist,Masters degree,Freelancer,26,35-44 years old,94868.69328109128,3,Remote,PHP;JavaScript,macOS
India,Back-end developer,Bachelors degree,Self-employed,9,25-34 years old,50784.06102813747,5,Remote,Go,Windows
India,Back-end developer,Bachelors degree,Not employed,7,25-34 years old,,4,Hybrid,C#;Java;JavaScript,macOS
Canada,Front-end developer,Bachelors degree,Employed full-time,26,25-34 years old,,5,Hybrid,JavaScript;PHP;C++,Windows
United States,Full-stack developer,Other doctoral degree,Employed full-time,2,45-54 years old,101875.69335905577,3,Remote,Java;Python,Windows
India,DevOps specialist,Masters degree,Employed full-time,23,25-34 years old,27839.598277480105,3,Hybrid,Java;PHP,macOS
Germany,Data scientist or machine learning specialist,Masters degree,Self-employed,23,25-34 years old,,5,Hybrid,C#,macOS
United States,Back-end developer,Masters degree,Employed full-time,27,35-44 years old,90307.90416160694,4,Hybrid,PHP;Java;TypeScript;Rust,macOS
Germany,Full-stack developer,Bachelors degree,Employed full-time,21,25-34 years old,87165.34332688378,2,Remote,C++;JavaScript;Rust;Go,Windows
United States,Front-end developer,Bachelors degree,Employed full-time,16,35-44 years old,,3,In-person,Rust,Linux
United States,Desktop developer,Some college,Employed full-time,9,25-34 years old,116507.04108636745,4,Hybrid,C#;Rust,Windows
Netherlands,Mobile developer,Bachelors degree,Employed full-time,13,18-24 years old,87203.36261656026,1,In-person,Kotlin,Windows
Netherlands,Desktop developer,Bachelors degree,Employed full-time,28,35-44 years old,56206.130130951846,4,Hybrid,JavaScript,macOS
France,Desktop developer,Bachelors degree,Employed full-time,27,18-24 years old,76991.69062093235,4,Hybrid,PHP;Kotlin;JavaScript,Linux
United States,Back-end developer,Bachelors degree,Employed full-time,19,25-34 years old,,5,In-person,PHP,BSD
United States,Embedded developer,Associate degree,Freelancer,More than 50 years,45-54 years old,,4,Hybrid,Kotlin,Windows
United Kingdom,Embedded developer,Bachelors degree,Self-employed,20,25-34 years old,,5,Remote,TypeScript;PHP;Go,macOS
India,Front-end developer,Masters degree,Not employed,17,65 years or older,19307.489914926424,3,Remote,Python;Rust,Linux
United States,Data scientist or machine learning specialist,Bachelors degree,Self-employed,6,65 years or older,80558.21946712365,4,Remote,PHP;C#;Kotlin,Linux
India,Embedded developer,Associate degree,Employed full-time,4,25-34 years old,30760.567366109783,2,In-person,PHP;Rust;Python;JavaScript,Windows
United States,Desktop developer,Bachelors degree,Employed full-time,1,18-24 years old,91121.48905852486,4,In-person,C#;Rust;TypeScript,macOS
Australia,Embedded developer,Bachelors degree,Employed part-time,18,35-44 years old,68897.07075114976,5,Hybrid,TypeScript;C#,macOS
United States,Desktop developer,Some college,Employed full-time,Less than 1 year,25-34 years old,128231.31438328564,5,Hybrid,JavaScript;Kotlin;Rust;Go,Windows
United Kingdom,DevOps specialist,Some college,Employed full-time,19,18-24 years old,41171.9366199595,4,In-person,JavaScript;Java,Linux
United States,Back-end developer,Bachelors degree,Employed full-time,9,35-44 years old,,4,Hybrid,Go,Windows
India,Back-end developer,Bachelors degree,Employed full-time,13,18-24 years old,,5,Remote,Java;C#;C++;PHP,Linux
India,Data scientist or machine learning specialist,Bachelors degree,Employed full-time,8,45-54 years old,44516.466745771264,5,Remote,Rust;C++;Kotlin,BSD
United States,Embedded developer,Bachelors degree,Employed full-time,23,18-24 years old,120177.15407337791,5,Hybrid,PHP;Go,Windows
Netherlands,Embedded developer,Bachelors degree,Employed full-time,13,18-24 years old,31689.51866172587,4,Hybrid,PHP;C#,Linux
Canada,Mobile developer,Masters degree,Student,15,18-24 years old,79557.44544422274,5,Hybrid,C#,Windows
Australia,Full-stack developer,Bachelors degree,Employed full-time,11,55-64 years old,,3,In-person,TypeScript;Python;Java,Linux
Brazil,DevOps specialist,Bachelors degree,Employed full-time,12,35-44 years old,32204.397136146617,3,Hybrid,Java;C#,macOS
Germany,Back-end developer,Masters degree,Employed full-time,14,35-44 years old,102040.78731948652,2,Hybrid,C#,Windows
Australia,DevOps specialist,Associate degree,Employed part-time,4,25-34 years old,101988.15041005018,3,Hybrid,C++;C#;Rust,Windows
United States,Back-end developer,Masters degree,Employed full-time,1,25-34 years old,119175.03742041595,5,Remote,Java,macOS
United States,DevOps specialist,Bachelors degree,Employed full-time,24,25-34 years old,163182.42309206584,5,Hybrid,Python;Java;JavaScript,Linux
United States,Front-end developer,Bachelors degree,Employed full-time,4,25-34 years old,121826.294572227,5,Hybrid,Java;Rust;Kotlin,Windows
United States,Desktop developer,Associate degree,Employed full-time,19,25-34 years old,112390.88191667298,4,Hybrid,C++;Python;Kotlin,Windows
India,Back-end developer,Bachelors degree,Not employed,More than 50 years,35-44 years old,12390.83091629045,4,Remote,Python;PHP;C#,Windows
United States,DevOps specialist,Bachelors degree,Not employed,9,25-34 years old,152741.64815985484,4,In-person,JavaScript;Go,Windows
France,Embedded developer,Masters degree,Employed full-time,10,55-64 years old,,4,Remote,Python;Rust;PHP;C#,Linux
India,Full-stack developer,Masters degree,Employed full-time,4,18-24 years old,,5,In-person,Rust;Go;TypeScript,Windows
United States,Front-end developer,Masters degree,Self-employed,20,55-64 years old,,4,Remote,TypeScript;Java;JavaScript,Linux
India,Front-end developer,Bachelors degree,Employed full-time,30,18-24 years old,,4,Remote,C++;JavaScript;Rust;Kotlin,Windows
United States,Full-stack developer,Bachelors degree,Employed full-time,9,25-34 years old,140604.99387939135,4,Hybrid,Python;C#;Go,Windows
France,DevOps specialist,Associate degree,Employed full-time,13,25-34 years old,52399.263074212926,5,Remote,PHP;Rust;Kotlin;Python,Windows
United States,Embedded developer,Bachelors degree,Not employed,12,25-34 years old,,3,Remote,Rust;C++;Java,Linux
Poland,Data scientist or machine learning specialist,Masters degree,Employed full-time,11,25-34 years old,,4,Remote,Python;JavaScript,Windows
Canada,Full-stack developer,Some college,Employed full-time,12,25-34 years old,,5,Remote,C++;Java;PHP;Go,macOS
United States,DevOps specialist,Masters degree,Self-employed,30,25-34 years old,132893.79606568467,4,Hybrid,Rust;JavaScript;Python;C++,Windows
United States,Full-stack developer,Bachelors degree,Employed full-time,18,35-44 years old,106904.60448752102,5,Hybrid,Kotlin;PHP;Python;Java,Windows
France,Full-stack developer,Bachelors degree,Employed full-time,30,35-44 years old,49787.83001404841,3,Hybrid,Go;TypeScript;Kotlin;PHP,Windows
United Kingdom,Back-end developer,Masters degree,Freelancer,12,45-54 years old,61598.30527480075,4,In-person,Go;C++;JavaScript;Rust,Windows
United Kingdom,DevOps specialist,Secondary school,Employed full-time,16,25-34 years old,,5,Hybrid,TypeScript;Rust;JavaScript,macOS
Canada,Data scientist or machine learning specialist,Other doctoral degree,Employed full-time,5,35-44 years old,40242.68179720456,4,In-person,Kotlin;PHP;Java;C++,macOS
United States,Desktop developer,Bachelors degree,Employed full-time,Less than 1 year,25-34 years old,,4,Hybrid,JavaScript,Windows
India,Back-end developer,Bachelors degree,Employed full-time,20,25-34 years old,26710.26659279198,3,In-person,Go;PHP,Linux
United States,Full-stack developer,Other doctoral degree,Employed full-time,25,25-34 years old,85685.83362723741,3,Hybrid,Rust;Python;TypeScript,Linux
Brazil,Desktop developer,Some college,Employed full-time,12,25-34 years old,41421.47035078539,4,Hybrid,Kotlin;C#,macOS
Germany,Mobile developer,Secondary school,Employed full-time,21,18-24 years old,64917.42652696672,2,Remote,PHP;JavaScript,Windows
United States,Desktop developer,Bachelors degree,Student,25,18-24 years old,118542.8462231789,5,Remote,Rust;Python,Windows
United States,Full-stack developer,Masters degree,Employed full-time,11,18-24 years old,,5,Hybrid,C++,Linux
United States,Full-stack developer,Some college,Employed full-time,More than 50 years,35-44 years old,,3,In-person,Rust;PHP;TypeScript;C#,Windows
United States,Embedded developer,Masters degree,Employed full-time,9,35-44 years old,103184.5622020275,4,Remote,Kotlin;Python;C#;TypeScript,macOS
United Kingdom,DevOps specialist,Bachelors degree,Self-employed,30,55-64 years old,64412.616086143265,4,In-person,PHP;Java;Python,macOS
Germany,DevOps specialist,Bachelors degree,Employed full-time,18,35-44 years old,,3,In-person,PHP;C#;Go,Windows
Brazil,Back-end developer,Masters degree,Employed full-time,30,18-24 years old,66495.16479067084,3,Hybrid,Kotlin;Rust,macOS
